ID,Standard name,alias,alias PMID,PMID used,Description
CNBG_5990,ABP1,,,22562467,actin-binding protein homolog
CNBG_1012,ACL1,,,23078142,ATP-citrate lyase
CNBG_2182,ACO1,,,16524907,aconitate hydratase
CNBG_1429,ACT1,,,17114598,actin
CNBG_3815,ADA2,,,22174677,predicted saga histone acetyltransferase complex component
CNBG_0983,ADA3,,,20581290,predicted saga histone acetyltransferase complex component
CNBG_3509,ADE12,,,19542307,adenylosuccinate synthetase
CNBG_4007,ADE2,,,8406836,phosphoribosylaminoimidazole carboxylase
CNBG_1200,AFR1,,,16428784,ATP-binding cassette transporter
CNBG_2461,AGS1,,,17244196,"alpha-1,3-glucan synthase"
CNBG_3752,ALG7,,,21602483,UDP-N-acetyl-glucosamine-1-p transferase
CNBG_5022,ALO1,,,19542307,"d-arabinono-1,4-lactone oxidase"
CNBG_2113,ALR2,,,19542307,putative metal ion transporter
CNBG_0332,AMT1,,,18055915,low-affinity ammonium transporter
CNBG_6023,AMT2,,,18055915,ammonium transporter
CNBG_0396,AOX1,,,14500501,altemrnative oxidase
CNBG_5852,APG9,,,12455690,autophagy-related protein
CNBG_1982,APP1,,,21971702,secreted antiphagocytic protein
CNBG_4994,APT1,,,19949048,aminophospholipid translocase(flippase)
CNBG_0847,APT2,,,19949048,aminophospholipid translocase (flippase)
CNBG_1522,APT3,,,19949048,aminophospholipid translocase (flippase)
CNBG_5706,APT4,,,19949048,aminophospholipid translocase (flippase)
CNBG_3279,AQY1,,,19542307,aquaporin water channel
CNBG_2790,ARF1,,,16775005,ADP-ribosylation factor
CNBG_2340,ARF2,,,19542307,ADP-ribosylation factor
CNBG_3466,ARG3,,,19151325,ornithine carbamoyltransferase
CNBG_1306,ARG8,,,19151325,acetylornithine aminotransferase
CNBG_5393,ATF1,,,16045626,activating transcription factor
CNBG_2450,ATG2602,,,18854164,UDP-glucose sterol transferase
CNBG_2706,ATM1,,,19542307,mitochondrial inner membrane ABC transporter
CNBG_1793,ATP1,,,19542307,ATP synthase subunit alpha
