H99 ID,H99 Standard Name,H99 alias,H99 alias PMID,PMID used H99,Description H99,JEC21 ID,JEC21 Standard name,JEC21 alias,JEC21 alias PMID,PMID used JEC21,Description JEC21,B3501A ID,B3501A Standard name,B3501A alias,B3501A alias PMID,PMID used B3501A,Description B3501A,WM276_ID,WM276 Standard name,WM276 alias,WM276 alias PMID,PMID used WM276,Description WM276,R265_ID,R265 Standard name,R265 alias,R265 alias PMID,R265 PMID,Description R265,Description H99,Description non-H99,Synteny checked?,Update from Supplement,Curator Comment for FungiDB,H99 Genbank description,AHRD description,Top Sc hit,Sc Name,Sc eval,Sc hit % ID,H99 query length
CNAG_01375,ABP1,,,22562467,actin-binding protein homolog,CND04880,ABP1,,,22562467,actin-binding protein homolog,CNBD1470,ABP1,,,22562467,actin-binding protein homolog,CGB_I2190C,ABP1,,WM276 alias,22562467,actin-binding protein homolog,CNBG_5990,ABP1,,,22562467,actin-binding protein homolog,actin-binding protein homolog,actin-binding protein homolog,yes,,,hypothetical protein,SH3 domain-containing kinase-binding protein 1,YGR136W,LSB1,.00000019999999999999999095,50,48
CNAG_05218,ACA1,,,15590822,adenylyl cyclase-associated protein,CNL04110,ACA1,,,15590822,adenylyl cyclase-associated protein,CNBI2660,ACA1,,,15590822,adenylyl cyclase-associated protein,CGB_J1390C,ACA1,,,15590822,adenylyl cyclase-associated protein,none,,,,15590822,adenylyl cyclase-associated protein,adenylyl cyclase-associated protein,adenylyl cyclase-associated protein,yes,,Curator Comment: ACA1 would be located across the end of two contigs in R265 strain ,adenylyl cyclase-associated protein,Adenylyl cyclase-associated protein 2,YNL138W,SRV2,3.4999999999999999339e-53,35.98,517
CNAG_04640,ACL1,,,23078142,ATP-citrate lyase,CNJ00800,ACL1,,,23078142,ATP-citrate lyase,CNBJ2710,ACL1,,,23078142,ATP-citrate lyase,CGB_D8790W,ACL1,,,23078142,ATP-citrate lyase,CNBG_1012,ACL1,,,23078142,ATP-citrate lyase,ATP-citrate lyase,ATP-citrate lyase,yes,,,ATP-citrate synthase subunit 1,Succinyl-CoA ligase [ADP-forming] subunit alpha 1,YOR142W,LSC1,.000000079000000000000005954,25.81,310
CNAG_03427,ACO1,,,16524907,aconitate hydratase,CNG01590,ACO1,,,16524907,aconitate hydratase,CNBG3200,ACO1,,,16524907,aconitate hydratase,CGB_G4520C,ACO1,,,16524907,aconitate hydratase,CNBG_2182,ACO1,,,16524907,aconitate hydratase,aconitate hydratase,aconitate hydratase,yes,,,"aconitate hydratase, mitochondrial",Aconitate hydratase,YLR304C,ACO1,2.1000000000000000204e-199,58.21,761
CNAG_00483,ACT1,,,17114598,actin,CNA04650,ACT1,,,17114598,actin,CNBA4460,ACT1,,,17114598,actin,CGB_A4770W,ACT1,,,17114598,actin,CNBG_1429,ACT1,,,17114598,actin,actin,actin,yes,,,actin,Actin-2,YFL039C,ACT1,1.4000000000000000821e-156,90.4,375
CNAG_01626,ADA2,,,22174677,predicted saga histone acetyltransferase complex component,CNC01390,ADA2,,,22174677,predicted saga histone acetyltransferase complex component,CNBC5870,ADA2,,,22174677,predicted saga histone acetyltransferase complex component,CGB_C2200C,ADA2,,,22174677,predicted saga histone acetyltransferase complex component,CNBG_3815,ADA2,,,22174677,predicted saga histone acetyltransferase complex component,predicted saga histone acetyltransferase complex component,predicted saga histone acetyltransferase complex component,yes,,,transcriptional adapter 2-alpha,Transcriptional adapter 2,YDR448W,ADA2,6.099999999999999895e-42,34.31,513
CNAG_04674,ADA3,,,20581290,predicted saga histone acetyltransferase complex component,CNJ01070,ADA3,,,20581290,predicted saga histone acetyltransferase complex component,CNBJ2410,ADA3,,,20581290,predicted saga histone acetyltransferase complex component,CGB_D8500C,ADA3,,,20581290,predicted saga histone acetyltransferase complex component,CNBG_0983,ADA3,,,20581290,predicted saga histone acetyltransferase complex component,predicted saga histone acetyltransferase complex component,predicted saga histone acetyltransferase complex component,yes,,,transcriptional adapter 3,Transcriptional adapter 3,YDR176W,NGG1,2.8000000000000001537e-10,23.59,619
CNAG_02858,ADE12,,,19542307,adenylosuccinate synthetase,CNC04750,ADE12,,,19542307,adenylosuccinate synthetase,CNBC2420,ADE12,,,19542307,adenylosuccinate synthetase,CGB_C7060C,ADE12,,,19542307,adenylosuccinate synthetase,CNBG_3509,ADE12,,,19542307,adenylosuccinate synthetase,adenylosuccinate synthetase,adenylosuccinate synthetase,yes,,,adenylosuccinate synthetase,Adenylosuccinate synthetase,YNL220W,ADE12,6.7999999999999998485e-116,61.54,429
CNAG_02294,ADE2,,,8406836,phosphoribosylaminoimidazole carboxylase,CNE02500,ADE2,,,8406836,phosphoribosylaminoimidazole carboxylase,CNBE2520,ADE2,,,8406836,phosphoribosylaminoimidazole carboxylase,CGB_E3300W,ADE2,,,8406836,phosphoribosylaminoimidazole carboxylase,CNBG_4007,ADE2,,,8406836,phosphoribosylaminoimidazole carboxylase,phosphoribosylaminoimidazole carboxylase,phosphoribosylaminoimidazole carboxylase,yes,,,phosphoribosylaminoimidazole carboxylase,Phosphoribosylglycinamide formyltransferase 2,YOR128C,ADE2,2.900000000000000068e-117,52.59,580
CNAG_00730,AFR1,,,16428784,ATP-binding cassette transporter,CNA07090,AFR1,,,16428784,ATP-binding cassette transporter,CNBA6900,AFR1,,,16428784,ATP-binding cassette transporter,CGB_A8170W,AFR1,,,16428784,ATP-binding cassette transporter,CNBG_1200,AFR1,,,16428784,ATP-binding cassette transporter,ATP-binding cassette transporter,ATP-binding cassette transporter,yes,,,ATP-binding cassette transporter,ABC transporter G family member 37,YDR011W,SNQ2,4.699999999999999665e-189,37.38,1525
