ID,Standard name,alias,alias PMID,PMID used,Description
CGB_I2190C,ABP1,,,22562467,actin-binding protein homolog
CGB_J1390C,ACA1,,,15590822,adenylyl cyclase-associated protein
CGB_D8790W,ACL1,,,23078142,ATP-citrate lyase
CGB_G4520C,ACO1,,,16524907,aconitate hydratase
CGB_A4770W,ACT1,,,17114598,actin
CGB_C2200C,ADA2,,,22174677,predicted saga histone acetyltransferase complex component
CGB_D8500C,ADA3,,,20581290,predicted saga histone acetyltransferase complex component
CGB_C7060C,ADE12,,,19542307,adenylosuccinate synthetase
CGB_E3300W,ADE2,,,8406836,phosphoribosylaminoimidazole carboxylase
CGB_A8170W,AFR1,,,16428784,ATP-binding cassette transporter
CGB_D9320W,AGO1,,,21067947,argonaute protein
CGB_G0300C,AGS1,,,17244196,"alpha-1,3-glucan synthase"
CGB_K4240W,ALG7,,,21602483,UDP-N-acetyl-glucosamine-1-p transferase
CGB_N2380W,ALO1,,,19542307,"d-arabinono-1,4-lactone oxidase"
CGB_G5440W,ALR2,,,19542307,putative metal ion transporter
CGB_B2590C,AMT1,,,18055915,low-affinity ammonium transporter
CGB_I2530C,AMT2,,,18055915,ammonium transporter
CGB_B1710C,AOX1,,,14500501,altemrnative oxidase
CGB_I1270C,APG9,,,12455690,autophagy-related protein
CGB_F0410C,APP1,,,21971702,secreted antiphagocytic protein
CGB_N3050C,APT1,,,19949048,aminophospholipid translocase (flippase)
CGB_D6700W,APT2,,,19949048,aminophospholipid translocase (flippase)
CGB_A3440W,APT3,,,19949048,aminophospholipid translocase (flippase)
CGB_I4230C,APT4,,,19949048,aminophospholipid translocase (flippase)
CGB_C3530C,AQY1,,,19542307,aquaporin water channel
CGB_H4080W,ARF1,,,16775005,ADP-ribosylation factor
CGB_G2180W,ARF2,,,19542307,ADP-ribosylation factor
CGB_C6410C,ARG3,,,19151325,ornithine carbamoyltransferase
CGB_A6490W,ARG8,,,19151325,acetylornithine aminotransferase
CGB_A0090C,ATF1,,,16045626,activating transcription factor
CGB_G0420C,ATG2602,,,18854164,UDP-glucose sterol transferase
CGB_H2660W,ATM1,,,19542307,mitochondrial inner membrane ABC transporter
CGB_F3520C,ATP1,,,19542307,ATP synthase subunit alpha
CGB_E1460W,ATX1,,,16102007,putative copper ion transporter
CGB_N1380W,BAT2,,,18854164,branched-chain-amino-acid aminotransferase
CGB_I2500W,BCK1,,,16194228,mitogen-activated protein (map) kinase kinase kinase
CGB_K1440W,BDF1,,,19542307,bromodomain transcription factor
CGB_A1200C,BIM1,,,20044015,microtubule binding protein
CGB_N1150C,BLP1,,,21402362,barwin-like protein domain
CGB_N1160C,BLP2,,,21402362,pr4/barwin domain protein
CGB_M3150C,BLP3,,,21402362,pr4/barwin domain protein
CGB_C1300W,BLP4,,,21402362,pr4/barwin domain protein
CGB_L0140W,BLP5,,,21402362,pr4/barwin domain protein
CGB_B5350C,BLP6,,,21402362,pr4/barwin domain protein
CGB_C6090W,BNA5,,,19151325,kynureninase
CGB_C6080C,BNA6,,,19151325,nicotinate-nucleotide pyrophosphorylase
CGB_I3330W,BNI1,,,22562467,formin
CGB_E6220C,BNI4,,,18854164,putative scaffold protein
CGB_B1260C,BRE2,,,19542307,Set1/Ash2 histone methyltransferase complex subunit
CGB_I0600W,BSP1,,,12455690,protein of unknown function; encoded on mat locus
CGB_I1020C,BSP2,,,12455690,armadillo/beta-catenin repeat protein; encoded on mat locus
CGB_I1180W,BSP3,,,12455690,btp/pz domain protein
CGB_D2610W,BWC1,CWC1,15813738,15760278,white-collar transcription factor; blue-light photoresponsive gene
CGB_E1450W,BWC2,CWC2,15813738,15760278,"white-collar transcription factor, blue-light photoresponsive gene"
CGB_M1590W,BZP1,,,19151325,bZip domain protein
CGB_G1390C,CAC1,,,12455973,adenylate cyclase
CGB_A8060C,CAC2,,,23042129,chromatin assembly complex protein
CGB_C6340W,CAN1,,,16400172,beta-type carbonic anhydrase
CGB_D2290W,CAN2,,,16400172,beta-type carbonic anhydrase
